"","Round","Team","HomeAway","No","Player","Mins","AST","BLK","FGA","FGM","FGpc","FlsOn","FTA","FTM","FTpc","Pts","REB","STL","ThreePA","ThreePM","ThreePpc","TO","TwoPA","TwoPM","TwoPpc"
"1","1","UCCAPS","HOME",13,"Wehrung, A.",24.52,5,0,11,8,73,3,2,2,100,22,5,1,5,4,80,2,6,4,67
"2","1","UCCAPS","HOME",9,"Bourne, C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1","UCCAPS","HOME",20,"Paalvast, C.",5.67,0,1,0,0,0,1,2,2,100,2,0,0,0,0,0,1,0,0,0
"4","1","UCCAPS","HOME",5,"Magbegor, E.",20.12,1,1,8,5,63,2,3,2,67,12,8,1,0,0,0,0,8,5,63
"5","1","UCCAPS","HOME",35,"Hooper, J.",25.35,1,0,11,6,55,2,3,3,100,18,3,0,7,3,43,0,4,3,75
"6","1","UCCAPS","HOME",10,"Gaze, K.",23.8,2,0,14,6,43,0,0,0,0,14,1,1,3,2,67,3,11,4,36
"7","1","UCCAPS","HOME",21,"Froling, K.",8.25,1,2,4,2,50,2,1,0,0,4,1,0,1,0,0,1,3,2,67
"8","1","UCCAPS","HOME",22,"Scherf, L.",14.95,0,0,6,1,17,1,2,0,0,2,4,0,0,0,0,1,6,1,17
"9","1","UCCAPS","HOME",23,"Rocci, M.",4.72,0,0,1,0,0,1,2,1,50,1,1,0,0,0,0,1,1,0,0
"10","1","UCCAPS","HOME",3,"Bass, M.",21.38,1,2,5,4,80,2,2,2,100,10,4,1,0,0,0,3,5,4,80
"11","1","UCCAPS","HOME",7,"Hurst, N.",32.7,14,2,5,2,40,0,0,0,0,5,8,2,3,1,33,3,2,1,50
"12","1","UCCAPS","HOME",12,"Jarry, R.",18.5,0,0,3,0,0,5,4,3,75,3,1,1,1,0,0,2,2,0,0
"13","1","BENSPIRIT","AWAY",22,"KARAITIANA, A.",26.92,0,0,10,3,30,2,2,1,50,8,2,0,4,1,25,1,6,2,33
"14","1","BENSPIRIT","AWAY",11,"Spencer, A.",1.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"15","1","BENSPIRIT","AWAY",44,"Laney, B.",28.75,1,0,15,7,47,4,5,5,100,19,5,2,1,0,0,3,14,7,50
"16","1","BENSPIRIT","AWAY",21,"Rolph, E.",1.07,0,0,1,1,100,0,0,0,0,2,1,0,0,0,0,0,1,1,100
"17","1","BENSPIRIT","AWAY",20,"Richards, G.",20.25,1,0,5,1,20,0,0,0,0,2,6,0,0,0,0,1,5,1,20
"18","1","BENSPIRIT","AWAY",7,"OLIVER, H.",24.3,0,1,10,2,20,1,0,0,0,4,8,3,0,0,0,0,10,2,20
"19","1","BENSPIRIT","AWAY",3,"Tessari, K.",9.58,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"20","1","BENSPIRIT","AWAY",23,"Griffin, K.",29.07,3,0,14,8,56,6,7,6,86,22,5,1,3,0,0,2,11,8,73
"21","1","BENSPIRIT","AWAY",12,"Payne, N.",27.93,0,1,8,4,50,5,8,3,38,13,4,2,3,2,67,2,5,2,40
"22","1","BENSPIRIT","AWAY",1,"Banham, R.",30.4,4,0,10,3,30,2,3,3,100,10,4,1,2,1,50,4,8,2,25
"23","2","UCCAPS","HOME",13,"Wehrung, A.",24.67,3,0,7,3,43,4,6,6,100,14,1,1,3,2,67,2,4,1,25
"24","2","UCCAPS","HOME",9,"Bourne, C.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2","UCCAPS","HOME",20,"Paalvast, C.",8.68,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"26","2","UCCAPS","HOME",5,"Magbegor, E.",6.92,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0
"27","2","UCCAPS","HOME",35,"Hooper, J.",31.1,3,0,15,6,40,2,4,4,100,19,7,2,9,3,33,1,6,3,50
"28","2","UCCAPS","HOME",10,"Gaze, K.",15.15,0,0,2,1,50,2,4,4,100,7,1,0,1,1,100,1,1,0,0
"29","2","UCCAPS","HOME",21,"Froling, K.",7.93,1,0,2,0,0,2,2,1,50,1,2,0,2,0,0,0,0,0,0
"30","2","UCCAPS","HOME",22,"Scherf, L.",14.25,2,1,7,1,14,0,0,0,0,3,2,0,2,1,50,0,5,0,0
"31","2","UCCAPS","HOME",23,"Rocci, M.",2.5,0,0,1,1,100,1,1,0,0,2,0,0,0,0,0,0,1,1,100
"32","2","UCCAPS","HOME",3,"Bass, M.",25.73,2,1,12,6,50,2,1,1,100,13,6,0,0,0,0,2,12,6,50
"33","2","UCCAPS","HOME",7,"Hurst, N.",34.27,7,0,7,4,56,1,0,0,0,10,6,1,3,2,67,1,4,2,50
"34","2","UCCAPS","HOME",12,"Jarry, R.",28.72,1,0,9,6,67,3,4,2,50,15,4,1,1,1,100,0,8,5,63
"35","2","ADELAIDE","AWAY",4,"Bishop, A.",31.8,3,0,12,8,67,5,6,4,67,21,5,1,1,1,100,4,11,7,64
"36","2","ADELAIDE","AWAY",42,"Planeta, C.",19.3,0,1,7,4,56,1,2,2,100,10,5,1,1,0,0,0,6,4,67
