"","Round","Team","HomeAway","WinLoss","AST","BLK","FGA","FGM","FGpc","FlsOn","FTA","FTM","FTpc","Pts","REB","STL","ThreePA","ThreePM","ThreePpc","TO","TwoPA","TwoPM","TwoPpc","opp_Team","opp_HomeAway","opp_AST","opp_BLK","opp_FGA","opp_FGM","opp_FGpc","opp_FlsOn","opp_FTA","opp_FTM","opp_FTpc","opp_Pts","opp_REB","opp_STL","opp_ThreePA","opp_ThreePM","opp_ThreePpc","opp_TO","opp_TwoPA","opp_TwoPM","opp_TwoPpc"
"2","1","UCCAPS","HOME","W",25,8,68,34,50,19,21,15,71.43,93,36,7,20,10,50,17,48,24,50,"BENSPIRIT","AWAY",10,2,76,29,38.16,20,25,18,72,80,36,9,15,4,26.67,13,61,25,40.98
"4","2","UCCAPS","HOME","W",21,3,64,28,43.75,18,22,18,81.82,84,31,6,21,10,47.62,9,43,18,41.86,"ADELAIDE","AWAY",18,5,66,30,45.45,17,16,13,81.25,77,35,6,14,4,28.57,11,52,26,50
"5","3","UCCAPS","AWAY","L",15,5,67,26,38.81,14,10,8,80,65,38,4,19,5,26.32,13,48,21,43.75,"TOWNSVILLE","HOME",18,6,74,28,37.84,22,22,16,72.73,76,46,8,15,4,26.67,8,59,24,40.68
"8","4","UCCAPS","HOME","L",11,2,67,24,35.82,22,19,11,57.89,63,25,5,15,4,26.67,15,52,20,38.46,"MELBBOOM","AWAY",23,7,61,35,57.38,19,21,18,85.71,92,33,12,13,4,30.77,14,48,31,64.58
"10","5","UCCAPS","HOME","L",21,2,73,27,36.99,13,16,11,68.75,76,35,6,27,11,40.74,9,46,16,34.78,"DANDENONG","AWAY",21,7,75,32,42.67,11,11,10,90.91,77,44,6,15,3,20,12,60,29,48.33
"11","6","UCCAPS","AWAY","L",17,4,79,32,40.51,14,5,2,40,77,37,6,24,11,45.83,14,55,21,38.18,"ADELAIDE","HOME",16,5,71,28,39.44,21,20,18,90,80,39,11,18,6,33.33,12,53,22,41.51
"14","7","UCCAPS","HOME","L",22,5,81,28,34.57,11,7,4,57.14,68,41,6,23,8,34.78,18,58,20,34.48,"TOWNSVILLE","AWAY",25,5,71,33,46.48,12,13,13,100,83,38,11,17,4,23.53,12,54,29,53.7
"15","8","UCCAPS","AWAY","L",15,8,71,22,30.99,19,16,12,75,62,34,9,24,6,25,12,47,16,34.04,"SYDUNI","HOME",14,7,70,28,40,24,25,20,80,81,46,4,19,5,26.32,15,51,23,45.1
"18","9","UCCAPS","HOME","L",20,4,75,27,36,9,12,8,66.67,72,28,7,24,10,41.67,8,51,17,33.33,"SYDUNI","AWAY",16,5,62,28,45.16,22,26,21,80.77,81,43,4,12,4,33.33,15,50,24,48
"19","10","UCCAPS","AWAY","L",12,1,63,25,39.68,20,18,12,66.67,67,39,4,15,5,33.33,18,48,20,41.67,"PERTHLYNX","HOME",17,5,76,34,44.74,15,10,10,100,85,36,9,19,7,36.84,7,57,27,47.37
